jobID,user,account,jobname,queue,walltime,exit_status,start,end,submit,nnodes,ncpus
jobID8720428,USER5558,ACCOUNT2349,JOB1469990,QUEUE4,2880,CANCELLED,04/05/2018 04:28:06,04/05/2018 04:30:36,04/05/2018 04:28:06,1,16
jobID8720429,USER5558,ACCOUNT2349,JOB1469991,QUEUE4,2880,COMPLETED,04/05/2018 01:17:34,04/05/2018 04:36:40,04/05/2018 01:17:34,1,16
jobID8720430,USER5558,ACCOUNT2349,JOB1469992,QUEUE4,2880,COMPLETED,04/05/2018 04:36:50,04/05/2018 04:37:24,04/05/2018 04:36:49,1,16
jobID8720431,USER5558,ACCOUNT2349,JOB1469993,QUEUE4,2880,COMPLETED,04/05/2018 05:06:27,04/05/2018 05:08:09,04/05/2018 05:06:26,1,16
jobID8720432,USER5558,ACCOUNT2349,JOB1469994,QUEUE4,2880,COMPLETED,04/05/2018 05:12:30,04/05/2018 05:14:13,04/05/2018 05:12:29,1,16
jobID8720433,USER5558,ACCOUNT2349,JOB1469995,QUEUE4,2880,COMPLETED,04/05/2018 05:20:00,04/05/2018 05:21:04,04/05/2018 05:19:59,1,16
jobID8720434,USER5558,ACCOUNT2349,JOB1469996,QUEUE4,2880,COMPLETED,04/05/2018 05:16:55,04/05/2018 05:24:23,04/05/2018 05:16:54,1,16
jobID8720435,USER5558,ACCOUNT2349,JOB1469997,QUEUE4,2880,COMPLETED,04/05/2018 05:35:08,04/05/2018 05:42:37,04/05/2018 05:35:08,1,16
jobID8720436,USER5558,ACCOUNT2349,JOB1469998,QUEUE4,2880,COMPLETED,04/05/2018 05:29:09,04/05/2018 05:47:48,04/05/2018 05:29:08,1,16
jobID8720437,USER5558,ACCOUNT2349,JOB1469999,QUEUE4,2880,COMPLETED,04/05/2018 05:52:52,04/05/2018 06:00:18,04/05/2018 05:52:51,1,16
jobID8720438,USER5558,ACCOUNT2349,JOB1470000,QUEUE4,2880,COMPLETED,04/05/2018 06:20:34,04/05/2018 06:26:37,04/05/2018 06:20:34,1,16
jobID8720439,USER5558,ACCOUNT2349,JOB1470001,QUEUE4,2880,COMPLETED,04/05/2018 06:45:36,04/05/2018 06:51:50,04/05/2018 06:45:35,1,16
jobID8720440,USER5558,ACCOUNT2349,JOB1470002,QUEUE4,2880,COMPLETED,04/05/2018 06:45:01,04/05/2018 06:51:52,04/05/2018 06:45:01,1,16
jobID8720441,USER5558,ACCOUNT2349,JOB1470003,QUEUE4,2880,COMPLETED,04/05/2018 06:44:36,04/05/2018 06:52:26,04/05/2018 06:44:35,1,16
jobID8720442,USER5558,ACCOUNT2349,JOB1470004,QUEUE4,2880,COMPLETED,04/05/2018 06:45:21,04/05/2018 06:52:30,04/05/2018 06:45:21,1,16
jobID8720443,USER5558,ACCOUNT2349,JOB1470005,QUEUE4,2880,COMPLETED,04/05/2018 06:52:50,04/05/2018 06:55:49,04/05/2018 06:52:48,1,16
jobID8720444,USER5558,ACCOUNT2349,JOB1470006,QUEUE4,2880,COMPLETED,04/05/2018 06:52:27,04/05/2018 06:59:23,04/05/2018 06:52:27,1,16
jobID8720445,USER5558,ACCOUNT2349,JOB1470007,QUEUE4,2880,COMPLETED,04/05/2018 10:31:21,04/05/2018 10:47:56,04/05/2018 10:31:21,1,16
