jobID,user,account,jobname,queue,walltime,exit_status,start,end,submit,nnodes,ncpus
jobID8719607,USER533,ACCOUNT4348,JOB1469334,QUEUE4,2880,COMPLETED,03/01/2018 08:18:45,03/01/2018 09:49:08,03/01/2018 07:33:40,1,16
jobID8719608,USER533,ACCOUNT4348,JOB1469335,QUEUE4,2880,COMPLETED,03/01/2018 07:07:05,03/01/2018 10:18:37,03/01/2018 07:02:51,1,16
jobID8719609,USER533,ACCOUNT4348,JOB1469336,QUEUE4,2880,COMPLETED,03/01/2018 07:17:55,03/01/2018 11:16:50,03/01/2018 07:17:55,1,16
jobID8719610,USER533,ACCOUNT4348,JOB1469337,QUEUE4,2880,COMPLETED,03/01/2018 08:13:00,03/01/2018 11:18:03,03/01/2018 07:31:44,1,16
jobID8719612,USER533,ACCOUNT4348,JOB1465162,QUEUE4,2880,COMPLETED,03/01/2018 05:44:44,03/01/2018 12:17:14,03/01/2018 05:44:43,1,16
jobID8719613,USER533,ACCOUNT4348,JOB1469339,QUEUE4,2880,COMPLETED,03/01/2018 09:16:46,03/01/2018 12:36:35,03/01/2018 08:43:20,1,16
jobID8719614,USER533,ACCOUNT4348,JOB1469340,QUEUE4,2880,COMPLETED,03/01/2018 09:21:11,03/01/2018 12:40:48,03/01/2018 08:44:26,1,16
jobID8719615,USER5558,ACCOUNT2349,JOB1469341,QUEUE4,2880,COMPLETED,03/01/2018 13:17:16,03/01/2018 13:18:30,03/01/2018 13:17:16,1,16
jobID8719616,USER7701,ACCOUNT3255,JOB68,QUEUE9,180,TIMEOUT,03/01/2018 10:43:53,03/01/2018 13:44:05,03/01/2018 10:43:52,3,48
jobID8719617,USER5558,ACCOUNT2349,JOB1469342,QUEUE4,2880,COMPLETED,03/01/2018 14:50:37,03/01/2018 14:53:49,03/01/2018 14:50:35,1,16
jobID8719618,USER5558,ACCOUNT2349,JOB1469343,QUEUE4,2880,COMPLETED,03/01/2018 15:02:24,03/01/2018 15:05:35,03/01/2018 15:02:23,1,16
jobID8719619,USER5558,ACCOUNT2349,JOB1469344,QUEUE4,2880,COMPLETED,03/01/2018 15:08:11,03/01/2018 15:11:17,03/01/2018 15:08:11,1,16
jobID8719620,USER5558,ACCOUNT2349,JOB1469345,QUEUE4,2880,COMPLETED,03/01/2018 15:10:01,03/01/2018 15:13:09,03/01/2018 15:10:01,1,16
jobID8719621,USER516,ACCOUNT2808,JOB1469346,QUEUE13,300,COMPLETED,03/01/2018 15:02:55,03/01/2018 15:29:56,03/01/2018 15:02:55,1,16
jobID8719622,USER533,ACCOUNT4348,JOB1469347,QUEUE4,30,COMPLETED,03/01/2018 15:39:19,03/01/2018 15:39:52,03/01/2018 15:39:19,1,16
jobID8719623,USER5508,ACCOUNT124,JOB298,QUEUE9,240,COMPLETED,03/01/2018 16:55:37,03/01/2018 17:00:07,03/01/2018 16:55:30,1,16
jobID8719624,USER516,ACCOUNT2808,JOB1469348,QUEUE4,720,COMPLETED,03/01/2018 16:45:25,03/01/2018 17:27:53,03/01/2018 16:45:24,1,16
jobID8719625,USER13117,ACCOUNT123,JOB1010726,QUEUE2,30,CANCELLED,03/01/2018 17:26:24,03/01/2018 17:32:27,03/01/2018 17:26:24,1,16
jobID8719626,USER7701,ACCOUNT3255,JOB68,QUEUE9,180,TIMEOUT,03/01/2018 14:45:46,03/01/2018 17:46:05,03/01/2018 14:45:45,3,48
jobID8719627,USER516,ACCOUNT2808,JOB1469349,QUEUE4,2876,COMPLETED,03/01/2018 19:19:07,03/01/2018 19:40:08,03/01/2018 19:19:07,1,16
jobID8719628,USER516,ACCOUNT2808,JOB1469350,QUEUE4,900,COMPLETED,03/01/2018 18:32:37,03/01/2018 20:03:45,03/01/2018 18:32:35,1,16
jobID8719629,USER7701,ACCOUNT3255,JOB68,QUEUE9,60,TIMEOUT,03/01/2018 19:04:37,03/01/2018 20:05:05,03/01/2018 19:04:27,3,48
jobID8719630,USER7701,ACCOUNT3255,JOB68,QUEUE9,60,TIMEOUT,03/01/2018 19:09:13,03/01/2018 20:09:35,03/01/2018 19:09:12,3,48
jobID8719631,USER533,ACCOUNT4348,JOB663579,QUEUE4,120,TIMEOUT,03/01/2018 18:11:27,03/01/2018 20:11:35,03/01/2018 18:11:27,1,16
jobID8719632,USER516,ACCOUNT2808,JOB1469351,QUEUE4,900,COMPLETED,03/01/2018 18:32:56,03/01/2018 20:13:45,03/01/2018 18:32:55,1,16
jobID8719633,USER516,ACCOUNT2808,JOB1469352,QUEUE4,900,COMPLETED,03/01/2018 18:33:24,03/01/2018 20:20:45,03/01/2018 18:33:24,1,16
jobID8719634,USER516,ACCOUNT2808,JOB1469353,QUEUE8,2876,COMPLETED,03/01/2018 21:00:23,03/01/2018 21:05:48,03/01/2018 21:00:23,1,32
jobID8719635,USER516,ACCOUNT2808,JOB1469354,QUEUE4,900,COMPLETED,03/01/2018 18:35:20,03/01/2018 21:12:34,03/01/2018 18:35:19,1,16
jobID8719636,USER516,ACCOUNT2808,JOB1469355,QUEUE4,2876,COMPLETED,03/01/2018 20:52:12,03/01/2018 21:12:35,03/01/2018 20:52:11,1,16
jobID8719637,USER516,ACCOUNT2808,JOB1469356,QUEUE8,2876,COMPLETED,03/01/2018 21:13:55,03/01/2018 21:24:24,03/01/2018 21:13:54,1,32
jobID8719638,USER516,ACCOUNT2808,JOB1469357,QUEUE8,2876,COMPLETED,03/01/2018 21:48:02,03/01/2018 21:54:57,03/01/2018 21:48:01,1,32
jobID8719639,USER516,ACCOUNT2808,JOB1469358,QUEUE13,120,COMPLETED,03/01/2018 22:57:52,03/01/2018 22:58:11,03/01/2018 22:57:51,1,16
jobID8719640,USER516,ACCOUNT2808,JOB1469359,QUEUE4,720,COMPLETED,03/01/2018 23:09:42,03/01/2018 23:11:01,03/01/2018 23:09:41,1,16
jobID8719641,USER5558,ACCOUNT2349,JOB1469360,QUEUE4,2880,NODE_FAIL,03/01/2018 10:44:03,03/01/2018 23:46:01,03/01/2018 10:44:00,1,16
jobID8719642,USER516,ACCOUNT2808,JOB1469361,QUEUE4,720,COMPLETED,03/01/2018 23:30:08,03/01/2018 23:56:40,03/01/2018 23:30:07,1,16
jobID8719643,USER516,ACCOUNT2808,JOB1469362,QUEUE4,720,COMPLETED,03/01/2018 23:27:49,03/02/2018 00:01:55,03/01/2018 23:27:48,1,16
jobID8719644,USER533,ACCOUNT4348,JOB1469363,QUEUE4,2880,COMPLETED,03/01/2018 20:49:37,03/02/2018 00:09:13,03/01/2018 20:49:36,1,16
jobID8719645,USER516,ACCOUNT2808,JOB1469364,QUEUE4,1440,COMPLETED,03/02/2018 00:39:55,03/02/2018 00:51:02,03/02/2018 00:39:54,1,16
jobID8719646,USER7824,ACCOUNT916,JOB1469365,QUEUE13,720,COMPLETED,03/02/2018 00:52:36,03/02/2018 00:52:52,03/02/2018 00:52:35,1,16
jobID8719647,USER7701,ACCOUNT3255,JOB68,QUEUE9,120,TIMEOUT,03/01/2018 23:09:37,03/02/2018 01:10:05,03/01/2018 23:09:33,3,48
jobID8719648,USER516,ACCOUNT2808,JOB1469366,QUEUE13,120,COMPLETED,03/02/2018 01:20:57,03/02/2018 01:21:17,03/02/2018 01:20:57,1,16
jobID8719649,USER5558,ACCOUNT2349,JOB1469367,QUEUE4,2880,COMPLETED,03/02/2018 03:26:58,03/02/2018 03:27:56,03/02/2018 03:26:57,1,16
jobID8719650,USER516,ACCOUNT2808,JOB1469368,QUEUE13,120,COMPLETED,03/02/2018 04:26:27,03/02/2018 04:26:45,03/02/2018 04:26:26,1,16
jobID8719651,USER533,ACCOUNT4348,JOB270677,QUEUE4,720,TIMEOUT,03/01/2018 17:22:47,03/02/2018 05:23:05,03/01/2018 17:22:46,1,16
jobID8719652,USER533,ACCOUNT4348,JOB270677,QUEUE4,720,TIMEOUT,03/01/2018 17:23:42,03/02/2018 05:24:05,03/01/2018 17:23:41,1,16
jobID8719653,USER533,ACCOUNT4348,JOB270677,QUEUE4,720,TIMEOUT,03/01/2018 17:29:41,03/02/2018 05:30:05,03/01/2018 17:29:40,1,16
jobID8719654,USER533,ACCOUNT4348,JOB270677,QUEUE4,720,TIMEOUT,03/01/2018 17:34:10,03/02/2018 05:34:35,03/01/2018 17:34:10,1,16
jobID8719655,USER533,ACCOUNT4348,JOB663579,QUEUE4,720,TIMEOUT,03/01/2018 18:09:19,03/02/2018 06:09:35,03/01/2018 18:09:18,1,16
jobID8719656,USER533,ACCOUNT4348,JOB663579,QUEUE4,720,TIMEOUT,03/01/2018 18:10:22,03/02/2018 06:10:35,03/01/2018 18:10:21,1,16
jobID8719657,USER516,ACCOUNT2808,JOB1469369,QUEUE13,120,COMPLETED,03/02/2018 07:39:49,03/02/2018 07:40:06,03/02/2018 07:39:49,1,16
jobID8719658,USER5558,ACCOUNT2349,JOB1469370,QUEUE4,2880,COMPLETED,03/02/2018 07:42:57,03/02/2018 07:46:35,03/02/2018 07:42:57,1,16
jobID8719659,USER5558,ACCOUNT2349,JOB1469371,QUEUE4,2880,COMPLETED,03/02/2018 07:43:07,03/02/2018 07:46:49,03/02/2018 07:43:01,1,16
jobID8719660,USER533,ACCOUNT4348,JOB1469372,QUEUE4,2880,COMPLETED,03/02/2018 08:00:35,03/02/2018 08:00:47,03/02/2018 08:00:35,1,16
jobID8719661,USER516,ACCOUNT2808,JOB1469373,QUEUE4,2876,COMPLETED,03/02/2018 11:22:17,03/02/2018 11:40:53,03/02/2018 11:22:17,1,16
jobID8719662,USER5558,ACCOUNT2349,JOB1469374,QUEUE4,2880,COMPLETED,03/02/2018 11:47:56,03/02/2018 11:48:32,03/02/2018 11:47:55,1,16
jobID8719663,USER5558,ACCOUNT2349,JOB1469375,QUEUE4,2880,COMPLETED,03/02/2018 12:54:17,03/02/2018 13:00:39,03/02/2018 12:54:16,1,16
jobID8719664,USER5558,ACCOUNT2349,JOB1469376,QUEUE4,2880,COMPLETED,03/02/2018 13:15:44,03/02/2018 13:16:43,03/02/2018 13:15:43,1,16
jobID8719665,USER5558,ACCOUNT2349,JOB1469377,QUEUE4,2880,COMPLETED,03/02/2018 08:28:44,03/02/2018 13:24:58,03/02/2018 08:28:44,1,16
jobID8719666,USER13117,ACCOUNT123,JOB908447,QUEUE2,30,CANCELLED,03/02/2018 13:57:18,03/02/2018 14:19:17,03/02/2018 13:57:18,1,16
jobID8719667,USER7701,ACCOUNT3255,JOB68,QUEUE9,120,TIMEOUT,03/02/2018 12:28:02,03/02/2018 14:28:06,03/02/2018 12:28:02,3,48
jobID8719668,USER13117,ACCOUNT123,JOB1385557,QUEUE2,30,CANCELLED,03/02/2018 14:19:42,03/02/2018 14:29:02,03/02/2018 14:19:42,2,32
jobID8719669,USER516,ACCOUNT2808,JOB1469378,QUEUE4,900,COMPLETED,03/02/2018 14:17:52,03/02/2018 14:40:40,03/02/2018 14:17:52,1,16
jobID8719670,USER13117,ACCOUNT123,JOB1469379,QUEUE2,30,CANCELLED,03/02/2018 14:37:02,03/02/2018 14:46:18,03/02/2018 14:37:01,2,32
jobID8719671,USER516,ACCOUNT2808,JOB1469380,QUEUE4,719,COMPLETED,03/02/2018 15:02:14,03/02/2018 15:04:04,03/02/2018 15:02:13,1,16
jobID8719672,USER13117,ACCOUNT123,JOB1469381,QUEUE2,30,CANCELLED,03/02/2018 14:46:22,03/02/2018 15:11:02,03/02/2018 14:46:21,2,32
jobID8719673,USER516,ACCOUNT2808,JOB1469382,QUEUE13,59,COMPLETED,03/02/2018 15:13:57,03/02/2018 15:21:43,03/02/2018 15:13:57,1,16
jobID8719674,USER516,ACCOUNT2808,JOB1469383,QUEUE8,2876,COMPLETED,03/02/2018 15:31:23,03/02/2018 15:31:37,03/02/2018 15:31:23,1,32
